news_headline,news_firstline,rating,news_article
The Boy and the Heron review – overplotted Miyazaki still delights,"At 82, the revered director of Spirited Away and My Neighbour Totoro has made his most personal film yet – a sometimes unwieldy tale of a 12-year-old boy coming to terms with his mother’s death",3,"It’s the film that the revered animator and co-founder of Studio Ghibli Hayao Miyazaki came out of retirement to make, and it’s arguably one of his most personal. The Boy and the Heron is a strikingly beautiful, densely detailed fantasy that revisits themes and devices familiar from previous films and ties them together with elements that have a clear autobiographical resonance for the director. The dream logic of the narrative seems to have been born from the untrammelled imagination of a child rather than that of a man in his 80s. The lush orchestral score, by regular Miyazaki collaborator Joe Hisaishi, is shimmering and exultant. All the elements are in place. So it seems almost churlish to note that this is middling Miyazaki at best.Of course, a mid-level Miyazaki film is still a vastly superior entity to much of the more cynically commercial content served up by Hollywood animation studios. And it’s not as if the seductive spell has been entirely broken. But compared with, say, the beguiling simplicity of My Neighbour Totoro, or the richly realised world of Spirited Away, this sometimes feels heavy going. Some of that trademark Miyazaki magic has been stifled by overplotted, incoherent storytelling and an unwieldy final third act.The backdrop, for some of the picture at least, before it slips into parallel realms, is early 1940s wartime Japan. The boy of the title is 12-year-old Mahito (voiced by Soma Santoki in the Japanese original version and Luca Padovan in the impressive English-language dub). Shortly before the main action takes place, Mahito loses his mother in a hospital fire after a bombing raid on Tokyo. The inferno engulfing the city has a disorientating, impressionistic quality that’s distinct from the precise visual style of the rest of the film, and this striking image of a burning city is one that Miyazaki has cited as one of his earliest childhood memories. Mahito’s father is the boss of a factory that manufactures fighter planes (as was the director’s own father). He remarries, to his late wife’s younger sister Natsuko (Yoshino Kimura/Gemma Chan), and the still grieving Mahito is forced to relocate from Tokyo to the country estate where his mother and Natsuko both grew up. It’s a curious, cavernous place, populated by a staff of bickering, ancient crones; it comes with a lake and a bricked-up, semi-derelict tower in its grounds.It also has another resident: an insolent grey heron (Masaki Suda/Robert Pattinson) that seems to be taking a particular beaky interest in Mahito. At the goading behest of the heron, Mahito enters the forbidden tower and finds himself drawn into a netherworld where timelines are knitted together and the infrastructure of the whole domain is controlled by some kind of high-stakes Jenga game. Fellow inhabitants of this world include Kiriko (Kô Shibasaki/Florence Pugh), a dashing sailor and fisherwoman who is skilled in magic, and the fire maiden Himi (Aimyon/Karen Fukuhara), as well as Mahito’s new stepmother, Natsuko, and a community of giant man-eating parakeets.For a director who is so famously preoccupied with the idea of flight, Miyazaki reveals an unexpectedly complicated relationship with birds in this picture. In addition to the monstrous parakeets that eye Mahito greedily, cutlery at the ready, there is also a flock of pelicans that feed on gentle floating creatures called the Warawara. And then there’s the heron, which soon loses its elegant avian form and morphs into one of Miyazaki’s less lovely creations, a wart-encrusted, goblin-like henchman in service to the ruler of this magic kingdom – an ageing wizard who, it turns out, has a connection to Mahito’s family. Ultimately, family – even a fractured, imperfect family scarred by loss – is elevated, forming the central spine of this picture, as it does in so many of Miyazaki’s movies.Where this film stumbles is in its use of space and pacing. The unbounded fantasies of Miyazaki’s imagination work best if they are physically contained in some way – within the bathhouse of Spirited Away, the enchanted forest of Totoro, the castle in Howl’s Moving Castle. Here, the world in which Mahito finds himself is vast and limitless, and the director fills it – with characters, locations and exposition – until the whole film starts to feel a little cluttered. You long for a moment of stillness, an opportunity such as that offered by the bus-stop scene in Totoro, for contemplation and the chance to fully inhabit the miraculous creations of Miyazaki’s mind, rather than being bombarded by them.In UK and Irish cinemas from 26 December"
Band Four review – Hong Kong goes indie as musical family get the band back together,"Three generations of a talented family reunite unexpectedly, but there’s little surprising about their subsequent journey, despite its undeniable charms",3,"You’d have to have a heart of brick to take against this earnest musical drama from Hong Kong about a single parent in an indie band dealing with her failed rocker dad suddenly walking back into her life (after leaving 20 years ago when she was little). It’s a warm and watchable valentine to music and starting afresh. But I did find something a bit make-believe and naive in its feelgood message about the power of music to heal old wounds; the idea that a sentimental chord or two could strum away the kind of pain and resentment it can take years of therapy to work through.Cantopop star Kay Tse plays Cat, lead singer of Band Four, and single mum to pint-sized drumming prodigy Riley (Rondi Chan). Cat nursed her own mum through years of illness, and it’s at the funeral that her dad King makes an appearance – all of five foot nothing, a ponytail, rock star sunglasses and leather jacket. Real-life musician Teddy Robin Kwan plays it beautifully; beneath the swagger there’s an unmistakable air of genuine regret. King is back to make amends to Cat and he’s got a surprise: a teenage daughter, her half-sister. Cat is fuming but King shamelessly ingratiates himself with little Riley, who is delighted by his new grandpa and auntie.When you twig that each of the four family members can play an instrument, and that Cat’s indie group is imploding, you know exactly where this is headed. It’s not helped by director Mo Lai Yan-chi pushing too many buttons, one after the other, and piling on tragic backstories and emotionally complicated relationships. Still, there’s real sweetness and charm to the movie. I found it impossible to resist its unabashed romanticism, or the sweet ending that’s not about finding love, or fame, but happiness in the family. That said, for a film about music starring actual musicians, the songs are a bunch of forgettable drifty indie mumblers. Band Four is released on 15 December in UK cinemas."
The Three Musketeers: Milady review – Eva Green seduces in swashbuckling second instalment,Green captivates as the treacherous Milady de Winter in part two of Martin Bourboulon’s breathless Dumas adaptation,4,"There was much to admire, earlier this year, in the first rollicking film in Martin Bourboulon’s two-picture adaptation of Alexandre Dumas’s classic: the swaggering fight choreography, the ostentatious insults parried along with the swordplay, the combined charisma of the musketeers (Vincent Cassel, Romain Duris and Pio Marmaï) and D’Artagnan (François Civil), which was only slightly obscured by a period-appropriate layer of sweat and grime. But the main attraction was an irresistible Eva Green, mercurial and merciless as the treacherous Milady, a spy and general agent of mischief in the French court. If anything, this follow-up is even more enjoyable, its appeal boosted by Milady slinking on to centre stage, her weaponised sexuality backed up by her private collection of daggers and swords.The Three Musketeers: Milady picks up where the first film left off, the atmosphere at court thick with treasonous plotting, after a foiled attempt on the life of the king (Louis Garrel, stealing every scene with his air of bewigged ennui). D’Artagnan, abducted and facing torture at the hands of the granite-faced henchman of the Comte de Chalais (Patrick Mille), forms a temporary alliance with Milady. Meanwhile, war has been declared and the musketeers head to the front at the port of La Rochelle, where a bracingly vigorous action sequence follows a daring assault on a fort.The film fairly gallops through big chunks of plot, pausing only for Milady’s repeated corset-clad seduction attempts on a befuddled D’Artagnan; a bonding moment between Athos (Cassel) and his son; family strife for Aramis (Duris); and toilet breaks for the permanently wine-sodden Porthos (Marmaï). There’s a hint at the end about the possibility of further movies in the series: here’s hoping."
The Boys in the Boat review – George Clooney sports drama goes for patriotic boosterism,"The director lays on the strident messaging in this clunky film, all about the gutsy underdogs of the US rowing team at the 1936 Berlin Olympics",2,"George Clooney has been a charming and dapper Anglophile presence on the awards circuit this season while promoting the new movie he’s directed, some of which was shot not far from where he lives near Henley-on-Thames. So it’s sad to report that his film clunks harder than redwood. It is a stodgy and sententious varsity-sports underdog drama from the Depression era, a bit like his 1920s American football film Leatherheads, from 2008, but minus the comedy. Weirdly, it is as if this earnest but perfunctorily imagined film is always ordering us to feel nostalgic and sentimental about a time and place of which no one involved can have any real memory or feeling.It tells the true story of how a gutsy crew of nine guys from the humble University of Washington battled to compete for Olympic rowing gold at the Berlin games in 1936, shrugging off Ivy League snobs and Nazi cheats along the way. Screenwriter Mark L Smith (who co-scripted Alejandro González Iñárritu’s The Revenant) has adapted Daniel James Brown’s bestselling book of the same title, and Clooney directs. Joel Edgerton plays gruff and taciturn coach Al Ulbrickson, who takes the sensational decision to take his junior crew of young talents to the Olympics rather than the more seasoned seniors, and then rages at the sneering obstructionists among the US rowing authorities who would prefer the Waspy east coast bluebloods to compete for America rather than his blue-collar team who are actually better at rowing. (You might remember the meanie Winklevoss twins from David Fincher’s The Social Network in a later era: entitled snobs who learned their habits of superiority in a rowing crew at Harvard.)British actor Callum Turner plays Joe Rantz, a lonely kid from a broken home who often went hungry during his studies and got into rowing to pay for his course. Peter Guinness is British-born boatbuilder George Pocock. In Berlin, Jyuddah Jaymes plays Jesse Owens, who politely tells his cornfed, puzzled white teammates that he’s running to prove his point against the bigots in America rather than Germany. And Daniel Philpott has a Mel-Brooks-ish cameo as the bad-loser Führer himself, growling and scowling at US success.The overall effect is sturdy and unsubtle, with some very strong racing scenes which certainly toy with the audience’s expectation that surely one of these tense competitions will involve the character-building experience of losing. The Poughkeepsie Regatta features the rather amazing (and historically accurate) spectacle of cheering onlookers being carried along beside the river on a converted open railway carriage. But the dialogue scenes are often frankly comic-book level, both strident and wooden. When Joe meets-cute with his sweetheart Joyce (Hadley Robinson) they have a deafeningly loud flirtatious conversation in what appears to be a library, with other extras gazing at their books, evidently in a trance. The inner life of Coach Ulbrickson is an uninteresting mystery and that excellent performer Edgerton is wasted.You might call this a film in the booster-ish spirit of old Hollywood pictures such as Knute Rockne, All American from 1940, with Ronald Reagan as the heartwrenchingly brave football star George “the Gipper” Gipp. George “the Cloonster” Clooney is capable of putting much more on the scoreboard; this feels like an animatronic museum display.Sign up to Film WeeklyTake a front seat at the cinema with our weekly email filled with all the latest news and all the movie action that mattersafter newsletter promotion The Boys in the Boat is released on 25 December in the US, on 4 January in Australia and 12 January in the UK"
Rebel Moon – Part One: A Child of Fire review – Zack Snyder’s Netflix disaster,"The director’s attempt to replicate Star Wars for smartphones is an ugly, unforgivably dull and self-serious mess",1,"Zack Snyder pitched Rebel Moon as a marriage of Seven Samurai and Star Wars, which is a bit like trying to sell your new invention as the wheel meets sliced bread. The former channeled all of Akira Kurosawa’s estimable powers in blocking, lighting and composition for battles that still merit the nearly exhausted descriptor of “epic”; the latter was a once-in-a-millennium Big Bang of raw movie stardom, snappy dialogue and transportive production design that turned a mid-budget space oddity into a culture-straddling phenomenon; both are fundamentally impossible to replicate. And so Lucasfilm passed on Snyder’s tall order, as did Warner Bros (more than once), until the good people at Netflix uncinched their readily loosened purse strings for what had gradually become the blockbuster king’s longest-simmering passion project.Yet the finished product has only the vaguest contours of ambition, diminished by a half-assedness dinkifying the latest CGI-jammed saga to decide the fate of the universe. If it can be considered complete at all, that is – this 134-minute film really only covers the getting-the-gang together phase that most movies in the genre knock out within the first half hour, a fragment of story to be wrapped up with a second installment next year. One hopes that Snyder has saved the good stuff for his climactic conclusion, and not just the grand clashes conspicuously absent from an adventure that fits and belongs on a laptop. (Longtime Snyderheads may happen upon the epiphany that his trademark slow-mo action tableaux look like screensavers more than anything else.) There’s still time for him to add character development to his ragtag band of cardboard cutouts, a tactility to his nondescript greenscreened locations, a deeper sense of meaning to the stultifyingly generic plot, and everything else that leaves a sort of polished nothingness in its lack. But by the end credits, expecting anyone to come back and find out feels like asking a lot.In film school, some professors use the familiar example of Star Wars to teach Campbellian mythmaking, the theories that identify and codify the narrative units re-contextualized since Grecian times. Snyder demonstrates a clear fluency in these concepts with his classically minded scripting, except he forgot the part where the archetypes are meant to be refreshed through novel contexts. On the humble farming planet of Wherever in the galaxy of Who Cares, the broad outline of a Hero (Sofia Boutella, terse and humorless and physically perfect, just how Snyder likes ’em) must defend her village from a faraway notion of an Evil Empire. They rose to power in some great cataclysm of yore during which our Hero’s family was killed, and the Final Boss took her in to teach her the combat skills she’d one day use to take her revenge. Snyder mistakes exposition for world-building, the lugubriously delivered reams of backstory removing the audience from the fantasy rather than immersing them in it.To topple the Mini-Boss (Ed Skrein, his British accent and high cheekbones marking him as a baddie) come to appropriate her people’s grain, she and her Sidekick (a neutered Michiel Huisman) bop around the cosmos rounding up sympathizers to their cause, including a self-interested yet caddishly likable mercenary we’ll call Not Han Solo (Charlie Hunnam, more visibly awake than most of his scene partners). They are most easily referred to by their function both because they exist as little more than sketches, and because the muddy sound mix isn’t doing viewers any favors, but especially because their names are often long and difficult to retain. Others are catchier, but never for good reasons. General Titus (Djimon Hounsou) and the squid-faced King Levitica offer arbitrary allusions for which the writing never makes any attempt to account. Some are just silly, like the brother-sister warriors surnamed Blood Axe, or Skrein’s effete colonist answering to Atticus Noble.Despite a few nifty creature designs, the handful of eccentricities never add up to a more colorful sense of personality; a fleshy parasite using its human host as a ventriloquist dummy hangs out in Snyder’s equivalent of the Mos Eisley cantina, but his wretched hive of scum and villainy has the clean interior decor and warm natural light of an upscale sushi restaurant. Even when sci-fi goes horribly awry, it usually yields some memorable weirdness, a tradeoff that’s endeared the likes of Jupiter Ascending or Valerian and the City of a Thousand Planets to their self-selecting cults. No such luck in this case, with Snyder’s po-faced sensibility totally bereft of humor, intentional or otherwise. He envisioned the fight for Somewhere-or-Other as his masterpiece, its sprawling cumulative runtime and expansive scope unprecedented in his career. Going mad with power should be at the very least fun, exhilarating in the indulgence of an artist’s most outlandish whims. Instead, Snyder’s would-be magnum opus is merely boring.Rebel Moon – Part One: A Child of Fire is now out in select cinemas and will be on Netflix on 22 December"
Earth Mama review – Savanah Leaf’s outstanding debut about single motherhood,US rapper Tia Nomore excels as a woman facing an impossible situation in Leaf’s bleak yet defiant Bifa award-winning drama,4,"A San Francisco Bay Area single mother with two children who have already been sucked into the foster-care system, Gia (a revelatory performance from Oakland rapper Tia Nomore) is pregnant with her third child. Heavily so. Her belly seems cumbersome and incongruous on her slight frame. Brief fantasy interludes that cut into the naturalistic, almost documentary-style observational approach of this impressive feature debut suggest that Gia is deeply conflicted by her pregnancy and by the umbilical emotional connection that she already feels with the baby.It becomes clear that the unborn child in her belly is not the only weight that Gia carries. A hostile, punitive society seems designed to knock back poor Black women at every opportunity. Her weekly supervised meetings with her children are the happiest moments of her life – and the most painful. To regain custody, she must attend a rigorous schedule of drug rehabilitation classes and counselling sessions; she also has to pay child support. But to earn enough money, she needs more hours at work, something she can’t take on because of the time commitments of her state-mandated classes.It’s a supremely confident first feature from London-born, California-raised director Savanah Leaf, who won best debut director at the Bifas last week. Her storytelling is subtly understated but visually eloquent. Images, rather than words, are the currency in which Leaf trades, with particular emphasis on long, unbroken shots of Nomore’s endlessly expressive face as she wrestles with her impossible situation. It’s bleak at times, but there is a defiantly celebratory aspect to the film, which finds hope in the solidarity of Black women and dignity in Gia’s quiet stoicism."
The Archies review – Riverdale goes to India for goofy lessons in capitalism,"Relocated to north India in 1964, the comic-book class struggle here comes complete with romance and brilliant choreography",3,"One could be cynical and see this transposition of the Riverdale narrative universe into an Indian setting as just another exercise in brand colonialism, pasteurising youth culture one country at a time with deadly doses of emulsifying intellectual property. Or one could just chillax and dance along to the formidably catchy songs, performed with zip by the peppy and exceedingly well choreographed cast. While one is grooving along, it’s worth noting that every so often the film-makers have smuggled in a quietly subversive thought, such as in the song Everything Is Politics which argues, pace Marxist philosopher Louis Althusser, that there is no position outside the ideological apparatus. It’s that very dualism which makes this goofy musical fascinating, a guilt-free pleasure that’s nevertheless super-corny and ridiculous.Like the American Archie comics on which this is based, the story here takes place in a mythical town called Riverdale – except this Riverdale was founded in northern India by Anglo-Indians, as explained in an opening animated sequence. After independence, the residents of Riverdale planted trees in the names of their children to commemorate their newfound freedom and hope for the future, creating the municipal space Green Park in the centre of town. But, in the 1964 of the film, the now-teenage kids like rock’n’roll and miniskirts, they consider going abroad for university and are blithely unaware that things are changing in less savoury ways. Local oligarch Mr Lodge (Alyy Khan), father of high-school rich girl Veronica (Suhana Khan), has plans to develop the Green Park and plonk a grand hotel in the middle of it.This will affect the residents in different ways. For example, a landlord decides to close the bookshop where Hal (Satyajit Sharma), the father of Veronica’s best friend Betty (Khushi Kapoor), is the manager, putting Hal out of a job unless he accepts a position with a more profit-centric book chain. Meanwhile, teen heartthrob Archie Andrews (Agastya Nanda), clearly working on a sex and love addiction that will trouble him in later life, thinks his biggest problem in life is trying to decide whether he fancies Veronica or Betty more. The aforementioned songs explaining that Everything Is Politics put him right on that score, but the kids still have to gather enough signatures to overturn the city council’s decision to allow the rezoning of Green Park.That plot summary might make this sound much more like an episode of the darkish North American-set Archie-spinoff TV series Riverdale. But all of the above unfolds in a place that is very much recognisable as a version of rural India of the period: people speak a mashup of Hindi and English, older women wear saris, and Bollywood is the dominant cultural touchstone in the dance numbers, even when everyone is wearing rollerskates. The whole shebang is quite bizarre but sort of works, thanks to the brisk pacing of the editing and the joie de vivre that director Zoya Akhtar injects into the proceedings. The Archies is released on 7 December on Netflix"
"Tramps! review – the New Romantic story of freaks, Blitz kids and a ‘typhoon of death’",This nostalgic documentary tells the story of the scene that evolved from punk and was energised by London’s gay scene until it was ravaged by Aids,3,"Here’s a gossipy, nostalgic and really quite lovely documentary about the New Romantics, the scene best remembered for the flouncy shirts and extreme makeup, as told by some of the key players. The New Romantics (as they would never have dreamed of calling themselves) were arty kids in London in the late 70s and early 80s; the scene evolved out of punk, and was born on the dancefloor of the Blitz club in Covent Garden where Boy George worked as coat-check attendant (so he could steal out of coat pockets, apparently). The door policy was brutal – Mick Jagger got turned away. “But all the freaks got in for free.”And what freaks. This was the Thatcher era of grim recession and a lot of the “Blitz kids” lived in a squat in Warren Street in four of five Georgian houses knocked together. It was filthy but brilliant: you had to wear wellies to go to the loo, and most of the residents were on the dole. (“Who was going to give us jobs looking like that?”). But they were compulsively creative, making films, music, fashion, art. Clearly, a lot of time – a lot! – was spent dressing up, putting together DIY extravagant looks. A woman remembers travelling on the tube with her nipples painted red, wearing nothing but “a bit of muslin”. One drag queen carried concrete in her handbag for self-defence against homophobic attacks. The scene sounds like a sixth form, full of petty squabbling and rivalries; there’d be a fight on the dancefloor if someone stole your look.In hindsight there’s something quaint, endearing even, about the New Romantics mentality. They were desperate to be famous, but didn’t give a hoot about making money. Today, they’d all be influencers earning thousands of pounds from brands. Many went on to be leaders in their fields, including Boy George, choreographer Michael Clark and film-maker John Maybury. It’s Maybury who reminds director Kevin Hegge not to forget the queer influence. It’s often left out of documentaries, he says, because so many young gay men were lost to Aids – “a typhoon of death”. What a desperately sad ending.Tramps! is released on 11 December on digital platforms."
Joram review – old and new worlds collide in pressure cooker man and baby-hunt,Director Devashish Makhija slowly ramps up the tension with a sharp eye for oppressive realism and social satire as a father tries to out run his oppressors in this gritty thriller,4,"Where many thrillers programmatically crank up tension with every scene and every beat, Devashish Makhija’s third feature feels different; this manhunt is weighed down by an almost agonised oppressiveness. Joram’s protagonist Dasru (Manoj Bajpayee) is barely able to choose a course of action until compelled out of desperation, and his police pursuer Ratnakar (Mohammed Zeeshan Ayyub) is not much better. There’s no escape in this pressure cooker from omnipresent societal exploitation and cynicism – with only Makhija’s compassion for the marginalised to compensate.A tattooed member of the “scheduled tribes” from the eastern state of Jharkhand, Dasru lives in exile as a Mumbai labourer. When Phulo Karma (Smita Tambe), a tribal leader from the same region, pitches up on his construction site electioneering, she recognises him from his former life: a jungle rebel fighting against the appropriation of local lands by her husband’s iron-ore mining outfit. Dasru is bewildered when he comes home to find his wife Vaano (Tannishtha Chatterjee) brutally murdered and trussed upside down, forcing him to flee into the streets with his three-month-old daughter Joram in a sling.Dasru makes a beeline for his Jharkhand heartland, with Ratnakar browbeaten into following. But the chase is all the more convincing because of how shambolic it is, with the setpieces seeming hapless and improvised. It amounts to a reduction of options, not a Hollywood-esque building climax, especially in a riveting sequence in a set of train corridors. Makhija shoots the urban clutter of half-built tower blocks and railway sidings with a jittery noirish lustre, and later loosens up into satire to burnish the theme of “progress” encroaching on rural life. The bent Jharkhand cops, in a region known for totemic tree worship, all keep their mobile phones in little cages attached to one.This downhill rolling tussle between the modern and the traditional always keeps an eye on a mythic horizon; for example, in the baleful sight of a tree with a terrible meaning as the only thing left standing in a blasted quarry. Tambe holds a formidable death stare as the vengeful magnate, and Ayyub is also good as the empathic Ratnakar. But Bajpayee, who broke out in the gritty 1998 gangster epic Satya, is made for clammy realism; largely mute, clasping his baby bundle, recoiling in panic as his eyes try to flee his head, he is like a refugee from Fritz Lang’s M. A plea on behalf of India’s dispossessed. Joram is released in cinemas on 8 December."
Eileen review – Anne Hathaway is magnetic in uneven neo-noir thriller,Director William Oldroyd follows Lady Macbeth with the tale of a woman dazzled by a glamorous colleague in small-town Massachusetts,3,"William Oldroyd’s follow-up to his superb feature debut, Lady Macbeth, Eileen is a 60s-set sapphic neo-noir that sees a gauche younger woman (Thomasin McKenzie) entranced by a sophisticated new co-worker (Anne Hathaway) at a Massachusetts young offenders facility. McKenzie plays Eileen as a girl who is upstaged by her own shapeless beige cardigan; it’s no wonder she’s fascinated by brassy blonde Rebecca, who matches her scarlet leather gloves to her sports car.And for a while at least, we fall under the same spell – against a world-weary bluesy score and an evocatively down-at-heel, small-minded, small-town backdrop, Rebecca is an impossibly exciting presence. Hathaway is magnetic, purring her way around the baked-in misogyny of the potato-faced local men. But then a third-act tonal shift knocks the whole film off balance. Rebecca remains impossibly glamorous, but she is no longer believable as a character."
Teddy’s Christmas review – wholesome kids’ feature is festive as Christmas cake,"Set in an indeterminate mid-century Norway, this animated tale of a talking teddy has some strange dubbing, but it’s wholesome fare",3,"As this Norwegian-made children’s feature begins, it’s coming up to Christmas time and tween Mariann (Marte Klerck-Nilssen) and her little brother (Vegard Strand Eide) are trimming the tree with extraordinary intra-sibling harmony. The era seems to be somewhere in the middle of the last century judging by the type of cars on the streets, the lack of semiconductor-driven toys and gadgets and, to an extent, the clothes – though Norwegians’ fondness for traditional dress, especially when it comes to loppisgenser or “flea” pattern sweaters and chunky wool toques, makes nailing the period a challenge.The important thing is that this unfolds in a utopian past full of good cheer, Christmas markets and magic that brings toys to be won at a spin-the-wheel stall to life, like the teddy bear of the title, which is dubbed into English with the voice of Zachary Levi. Mariann wins the teddy legitimately, but the furry scamp moves the wheel when no one is looking so that he has a chance to be won by an adult instead, who will take him to see the world. You see, he doesn’t understand how nice it is to be loved and cuddled by a child, although you can bet krone to kransekake he’ll learn about them by the end.Teddy has a “B” plot adventure as he is bought by an international man of mystery and meets a chatty plush hedgehog, while Mariann learns why breaking and entering is wrong, a life lesson surely all parents will get behind. Grandparents come to visit, little brother has an existential crisis over whether Santa is really his father, his actual dad (Jan Gunnar Røise) takes a bravura pratfall over the newly decorated Christmas tree, and mum (Mariann Hole, sporting a truly gorgeous teased-up tousled blond bob) manages not to burn the rice pudding. This one has all the Norwegian drama of Yuletide in one tidy package, yes sir.If you are not a child under the age of eight or nine, you may find yourself distracted by scrutinising how the film-makers have tried to disguise the disconnect between the actors speaking their original Norwegian and the requirement to dub into other languages. This means no one’s mouth is visible for too long, and if possible moustaches are deployed to disguise lip movements. Obviously, that doesn’t work so well between children and women, so they mug a lot for the camera in order to distract attention from their mouths. The animation, incidentally, is seamlessly executed and quite charming. Teddy’s Christmas is released on 1 December in UK and Irish cinemas."
Femme review – unbearably tense queer London revenge thriller,Nathan Stewart-Jarrett excels as a drag artist who starts a relationship with his attacker in Sam H Freeman and Ng Choon Ping’s unflinching feature debut,4,"Revenge is rarely a tidy business. But Femme, a savagely sexy queer erotic thriller, explores just how messily complex retribution can be. Set against a fretful, pulsing electronic score and unfolding in a world of sordid neons, it follows an east London drag artist who enters into a highly charged sexual relationship with his unwitting gay basher.Written and directed by first-time feature film-making duo Sam H Freeman and Ng Choon Ping, this is a teasing, slippery picture – a power-shifting tussle between out gay man Jules (Nathan Stewart-Jarrett, excellent) and his tightly wound closeted attacker Preston (George MacKay), neither of whom are quite who or what they say they are. Jules and Preston are both skilled in slipping into other skins and identities. Jules’s drag alter ego, Aphrodite, is fearless and fabulous. “She was the real me and I was the performance,” says Jules, mourning the loss of his bolder persona. After the street attack by Preston, Jules no longer feels able to perform. And Preston jealously guards his sexuality from his gang of friends, with their bared teeth, hyena laughs and pack mentality. It’s bold, unflinching and almost unbearably tense."
Tótem review – exquisite Mexican family drama of joy and heartbreak,"Writer-director Lila Avilés’s tender film, told largely through the eyes of a seven-year-old girl, is a minutely observed ensemble piece in which grief and celebration go hand in hand",5,"“When will the world end?” There’s a great deal of uncertainty in the life of seven-year-old Sol (Naíma Sentíes) right now, so she takes her mother’s phone to a quiet corner away from the bustle in her grandfather’s house and puts her big question to Siri. The little girl has picked up enough from the fragments of conversation of the adults thronging in the house to understand that, while the end is still a way off, her world, or at least part of it, is about to change for ever.The second film from Mexican actor turned writer-director Lila Avilés, Tótem is exquisite – a vital ensemble drama that’s suffused with joy and love. Taking a child’s-eye view of the controlled chaos of preparations for a birthday party in honour of Sol’s terminally ill father, Tonatiuh (Mateo García Elizondo), it deftly balances grief against celebration; the shadow of death against a frame that is perpetually teeming with life (human, insect, animal and a goldfish named Nugget).It’s a picture that cements Avilés as one of the brightest talents in a new wave of female Mexican directors – a movement that also includes Tatiana Huezo (Prayers for the Stolen), Fernanda Valadez (Identifying Features) and Issa López (Tigers Are Not Afraid). Tótem also represents a marked step up in terms of ambition and scope. Avilés’s widely acclaimed debut, The Chambermaid (2019), was a contained, subdued character study that followed the daily routine of a maid in a high-end luxury hotel in Mexico City. Like the diligent, quiet woman at its centre, it was hyper-observant, unusually tuned in to tiny details.Tótem shares an instinctive, naturalistic approach with The Chambermaid but is more exuberant and intuitive, a free-flowing, multifaceted portrait of an extended family. The meticulous, minute details are still there, and the camera is attuned to them, but there’s something more satisfyingly complex at play here – a harmony of energies (and occasional moments of discord) that depicts the family both as individuals and as a single entity, a living, breathing creature. Avilés cites the work of John Cassavetes as an influence and describes the picture as a “choral” film. It’s a term that perfectly captures the minor key tenderness and attentiveness of Tótem’s embrace.Grief hits everyone differently. Sol’s aunt, Tonatiuh’s sister Nuria (Montserrat Marañon), shaved off her hair in solidarity with her brother after his cancer diagnosis, only to note, wryly, that he has managed to keep his flowing locks intact. Nuria numbs her pain with several bottles of wine and channels her love into a birthday cake, painted in the style of Van Gogh and fine-tuned obsessively in the kitchen while the party is in full swing in the garden. Finishing it, you sense, is a step that Nuria is unwilling to take, symbolic of severing yet another link with her brother.Meanwhile, her sister, Ale (Marisol Gasé), pays for a grifter spiritualist to rid the house of negative energy (“I also sell Tupperware,” says the opportunistic medium, having price-gouged Ale on the cost of an exorcism). Sol’s grandfather (Alberto Amador) gives his son the gift of a bonsai tree that he has cultivated for the past seven years. We see in Tonatiuh’s anguished smile of thanks that the tree is certain to outlive him. And in a heartbreakingly poignant scene, Sol and her actor mother, Lucía (Iazua Larios), put on a clown-wigged comedy performance in honour of the occasion.There is no score, only the party playlist the characters hear. But Avilés finds music in the rhythms of the conversations, in particular the shorthand exchanges and in-jokes between family members who know each other inside out. In this aspect, I suspect that non-Spanish speakers relying on the subtitles – myself included – may be missing out on some of the subtleties of Avilés’s screenplay. But the film’s visual language is universal. Lithe, long takes weave between the legs of adults and turn the furniture into a playground. There’s a wayward sense of adventure in the way the camera moves within the walls of the house, reflecting a seven-year-old’s curiosity and quest for discovery. And the lyrical, recurring motif of animals and insects – a device also used in another film about terminal disease, Shannon Murphy’s Babyteeth (2019) – gives a sense of continuity and connection with the wider natural world, and an acceptance of the beauty and inevitability of cycles of life and death."
